prompt,chosen,rejected
"Tóm tắt văn bản sau: Phát biểu tại hội nghị trực tuyến tổng kết công tác khám chữa bệnh năm 2014 vào chiều 20/1 , Bộ trưởng Y tế Nguyễn Thị Kim Tiến cho rằng , không còn nằm ghép là nhiệm vụ cấp bách trong 7 nhiệm vụ của ngành .Việc này tưởng đơn giản nhưng là sự nỗ lực của ngành y tế .13 bệnh viện đầu tiên ký cam kết không để bệnh nhân nằm ghép gồm : Việt Đức , Nhi trung ương , Lão Khoa , E , Việt Nam - Thuỵ Điển Uông Bí , Tâm thần trung ương 1 , Da liễu trung ương , Trung ương Thái Nguyên , Răng hàm mặt trung ương , Nhiệt đới , Châm cứu trung ương , Việt Nam - Cuba Đồng Hới , Trung ương Huế .Các bệnh viện thực hiện từ ngày 15/1 , 20/1 hoặc 27/2 .Trong vụ dịch sởi bùng phát đầu năm 2014 , khoa Truyền nhiễm , Bệnh viện Nhi Trung ương thường nằm ghép 2 , thậm chí 3 .Ông Lương Ngọc Khuê , Cục trưởng Quản lý khám chữa bệnh , Bộ Y tế cho biết , ngoài 13 bệnh viện trên , sắp tới còn 25 đơn vị trực thuộc Bộ sẽ ký cam kết .Các bệnh viện thống nhất chia làm 3 nhóm : Thứ nhất bắt đầu mỗi người một giường bệnh ngay khi vào điều trị nội trú ; Thứ hai là tối đa sau 24h sẽ bố trí mỗi người một giường bệnh ; Thứ ba là tối đa sau 48h sau nhập viện .Người dân nếu thấy vẫn còn nằm ghép có thể phản ánh qua đường dây nóng với lãnh đạo bệnh viện , nếu không giải quyết được thì tiếp tục báo lên Bộ Y tế .Bộ sẽ triển khai nhiều nhóm giải pháp ; lập các đoàn đi kiểm tra giám sát .“ Cái này không phải làm thành tích , Cục sẽ phối hợp các bệnh viện để giải quyết vướng mắc chứ không phải đánh đố bệnh viện ” , ông Khuê khẳng định .Ông Nguyễn Tiến Quyết , Giám đốc Bệnh viện Việt Đức chia sẻ , quá tải bệnh viện là bức xúc của người dân , nhưng cũng vì nhu cầu khám chữa bệnh của người dân rất lớn , trong khi đáp ứng chưa được .“ Bệnh viện tôi cam đoan bệnh nhân sẽ không phải nằm ghép .Những khoa nào thiếu giường mà không đi lấy của khoa khác sẽ bị phạt ” , ông Quyết nhấn mạnh .“ Việc cam kết này hoàn toàn khả thi .4 tháng vừa rồi tại bệnh viện không còn nằm ghép ” , ông Lê Thanh Hải , Giám đốc Bệnh viện Nhi trung ương cho biết .Theo ông Hải , bệnh viện sẽ cải cách hành chính , tăng cường cơ sở hạ tầng , chọn bác sĩ điều dưỡng có chuyên môn cao ra làm việc tại phòng khám vào giờ cao điểm sáng , ngày đầu tuần ; bác sĩ chỉ khám 50-60 bệnh nhân trong 8 giờ làm việc .Theo Bộ trưởng Y tế Nguyễn Thị Kim Tiến , công tác khám chữa bệnh trong năm 2014 đã đạt được một số thành tích đáng khích lệ .Đề án giảm tải thực hiện được 2 năm , bước đầu có kết quả tốt .Bộ mặt khoa khám bệnh của các bệnh viện đã được cải tạo khang trang , kê thêm bàn khám , ghế chờ , ứng dụng công nghệ thông tin ...“ Nếu trước kia đi khám bệnh , bệnh nhân rất đông , chật chội , có thể không có chỗ ngồi thì bây giờ hình ảnh đó dần dần đi vào dĩ vãng .Tôi hy vọng trong tương lai sẽ không còn hình ảnh người bệnh ngồi chen chúc trong ghế nhựa , trẻ con khóc , không người hướng dẫn ” , Bộ trưởng Tiến nhấn mạnh .Trong năm 2014 , ngành y tế đã khởi công 3 bệnh viện với công suất 1.000 giường .Cuối năm 2016 sẽ khởi công tiếp Bệnh viện Chợ Rẫy cơ sở 2 .Sắp tới hàng loạt toà nhà trong các Bệnh viện Việt Đức , Chợ Rãy , Nhi trung ương ... sẽ được khánh tành .Số giường bệnh tăng lên , việc nằm ghép vì thế có xu hướng giảm .Nam Phương","Ngày 20/1 , lần đầu tiên 13 bệnh viện trực thuộc Bộ Y tế ký cam kết không để bệnh nhân nằm ghép , chấm dứt tình trạng quá tải tồn tại hàng chục năm qua .",Nội dung khá dài và phức tạp.
"Tóm tắt văn bản sau: Ngày 12-8 , ông Phan Huy Anh Vũ - giám đốc Sở Y tế tỉnh Đồng Nai - xác nhận trên địa bàn vừa có một trường hợp tử vong do sốt xuất huyết dengue .Bệnh nhân là chị Vũ Lê Thu H. ( 36 tuổi , ngụ xã Đông Hoà , huyện Trảng Bom ) .Theo bác sĩ Lê Văn Lương - phó giám đốc Bệnh viện đa khoa Thống Nhất Đồng Nai : ngày 10-8 , bệnh nhân nhập viện trong tình trạng choáng không hồi phục do xuất huyết nội , rối loạn đông máu , giảm tiểu cầu , chẩn đoán bị sốt xuất huyết .Mặc dù các bác sĩ đã cố gắng chữa trị nhưng đến rạng sáng nay ( 12-8 ) thì tử vong do bệnh quá nặng ."" Diễn tiến bệnh quá nhanh , màng tim và màng phổi xuất huyết nội ồ ạt .Từ lúc trở nặng đến lúc tử vong chỉ có mấy tiếng đồng hồ nên không cứu chữa kịp "" , bác sĩ Lương nói .Theo thống kê của Trung tâm Kiểm soát bệnh tật tỉnh Đồng Nai , tính đến ngày 8-8 , toàn tỉnh ghi nhận 9.273 ca mắc sốt xuất huyết , tăng 2,85 lần so với cùng kỳ năm 2018 ( 2.405 ca ) .Trong đó đối tượng người lớn ( trên 15 tuổi ) tăng mạnh , chiếm 47.65 % ( 4.418 ca ) .Thành phố Biên Hoà là địa phương có số ca sốt xuất huyết nhiều nhất với 3.360 ca ( chiếm 36,2 % toàn tỉnh ) , tiếp đến là các huyện Trảng Bom ( 1.391 ca ) , Long Thành ( 950 ca ) và Nhơn Trạch ( 915 ca ) .Cũng theo Trung tâm Kiểm soát bệnh tật tỉnh Đồng Nai , từ đầu năm đến nay , toàn tỉnh phát hiện 1.596 ổ dịch .Mới đây , đoàn công tác của Bộ Y tế đã 2 lần tổ chức đi giám sát thực địa về tình hình phòng chống dịch bệnh sốt xuất huyết trên địa bàn Đồng Nai .Qua kiểm tra thực tế , đoàn công tác đánh giá ý thức tự động phòng chống dịch bệnh của người dân chưa cao .Liên quan vấn đề trên , ông Huỳnh Cao Hải , phó giám đốc Sở Y tế Đồng Nai , cho biết sở sẽ tham mưu cho UBND tỉnh Đồng Nai chỉ đạo các địa phương trong tỉnh tiến hành xử phạt các đơn vị , doanh nghiệp và cá nhân không thực hiện vệ sinh , phòng chống dịch bệnh sốt xuất huyết khi có nguy cơ .Đặc biệt là các cơ sở buôn bán ve chai , thay lốp xe hay các chủ khu nhà trọ công nhân trên địa bàn .",Đồng Nai vừa ghi nhận một trường hợp đầu tiên tử vong do sốt xuất huyết Dengue trong năm 2019 . Bệnh nhân là một phụ nữ 36 tuổi ở huyện Trảng Bom .,Văn bản có 1966 ký tự.
"Tóm tắt văn bản sau: Cá heo trôi vào bờ biển Vũng Tàu .Là người phát hiện , chị Trần Thị Nhang ( ngụ phường 12 , TP Vũng Tàu ) cho biết , sáng 25/6 đang ở sân nhà nhìn ra hướng biển thì thấy một bóng đen nhấp nhô trên mặt nước , tại khu vực nuôi trồng thuỷ sản ."" Tưởng có người chết đuối tôi chạy vào nhà kêu mọi người ra ứng cứu , nhưng đó lại là một chú cá heo "" , chị Nhang kể .Con cá heo dài hơn 1,5 m ; nặng khoảng 60 kg bị sóng đánh dạt vào bờ .Chồng chị Nhang cùng người em dùng bè bơi ra để dìu cá heo thả về biển nhưng cứ đưa ra xa nó lại bị sóng đánh dạt vào bờ .Nghĩ cá bị đuối sức nên mọi người đưa vào ô nuôi ốc .Hay tin , nhiều người dân hiếu kỳ kéo đến xem , xin về ."" Đây là loại cá linh thiêng , phải cứu chữa bằng mọi cách .Nếu cá chết thì đem xác vô chùa chôn cất chứ nhất quyết không cho ai bắt "" , chị Nhang nói .Sau 4 tiếng nghỉ "" dưỡng sức "" , đến 11h , chú cá khoẻ trở lại và được mọi người lai dắt , thả về biển .Xuân Mai","Thấy bóng đen nhấp nhô ở mé biển , ngư dân Vũng Tàu tưởng có người gặp nạn nhưng đó là con cá heo nặng khoảng 60 kg .",Văn bản có 926 ký tự.
"Tóm tắt văn bản sau: Theo đài CNN , hơn 100 năm nay , thành phố Paris là nơi chịu trách nhiệm lưu giữ khối Le Grand K hay còn gọi là "" khối kilogram tiêu chuẩn "" .Giới khoa học định nghĩa kilogram là khối lượng của khối kilogram chuẩn quốc tế , làm từ hợp kim platin - iridi được Văn phòng cân đo quốc tế ( BIPM ) lưu giữ trong điều kiện tiêu chuẩn của BIPM từ năm 1889 .Khối kilogram tiêu chuẩn là một hình trụ tròn có đường kính 39mm và cao 39mm , được BIMP chế tạo từ 90 % platin và 10 % iridi .Nhiều quốc gia trên thế giới cũng đã tự chế tạo khối kiligram chuẩn này dựa theo tiêu chuẩn của BIMP để thuận tiện cho việc đo lường cho chính nước mình .Tuy nhiên , định nghĩa này nhiều khả năng sẽ thay đổi tại hội nghị toàn thể về cân đo ( BIMP ) vào thứ Sáu tuần này .Theo Phòng thí nghiệm vật lý quốc gia Anh ( NPL ) , dù được bảo quan trong một môi trường khá hoàn hảo nhưng khối kilogram chuẩn vẫn dễ bị tác động bởi các yếu tố môi trường .Đặc biệt , cứ 40 năm , khối kilogram chuẩn thường được đem ra đối chiếu với các bản sao để so sánh độ chính xác .Các nhà khoa học đã thấy những sự khác biệt giữa các khối kilogram này , dù rất rất nhỏ nhưng theo họ vẫn là sai số có thể gây ra nhiều sai sót lớn về sau .Ngày càng nhiều quốc gia và tổ chức cho làm khối kilogram chuẩn nên các sai số đó có thể ngày càng lan rộng trên thế giới ."" Sẽ chẳng hề gì nếu bạn cân một gói trà nhưng không thể chấp nhận được nếu áp dụng cho những ngành khoa học phức tạp hơn , chẳng hạn như trong y học "" , phòng thí nghiệm NPL của Anh cho biết .Cũng theo NPL , định nghĩa kilogram mới sẽ dựa trên hằng số Planck , vốn là hằng số cơ bản trong vật lý , xuất hiện trong các bài toán vật lý lượng tử .Theo nhiều chuyên gia , định nghĩa mới này sẽ là bước tiến lớn cho giới đo lường và cộng đồng khoa học nói chung vì sử dụng những hằng số tự nhiên để tính toán khối lượng kilogram sẽ cho ra được con số ở độ chính xác cao nhất ."" Chúng ta sẽ xây dựng một nền tảng vững chắc cho khoa học "" , một nhà khoa học của NPL nhận xét về sự thay đổi này .Nếu được thông qua , định nghĩa mới này sẽ chính thức có hiệu lực vào Ngày đo lường quốc tế vào năm 2019 .",Dự kiến trong tuần này các nhà khoa học sẽ thống nhất thay đổi định nghĩa kilogram - đơn vị thông dụng bậc nhất trong khoa học và cuộc sống hằng ngày .,Nội dung khá dài và phức tạp.
"Tóm tắt văn bản sau: Nạn nhân của vụ việc là anh Nguyễn Đức T. ( 38 tuổi ) , trú phường Quan Hoa , quận Cầu Giấy ( Hà Nội ) .Báo Tổ Quốc đưa tin , tài xế taxi này vẫn nằm trong phòng cách ly , viên đạn đã xuyên thủng trực tràng và vẫn nằm trong ổ bụng , chưa được phẫu thuật gắp ra .Anh Nguyễn Đức Mạnh ( SN 1977 , anh trai nạn nhân ) cho biết : "" Các bác sĩ vẫn chưa lấy được viên đạn ra .T. bị bắn thủng trực tràng nên các bác sĩ phải phẫu thuật nối lại , sau đó mới phẫu thuật gắp viên đạn .Hiện T. vẫn đang nằm trong phòng cách ly , người nhà chưa được vào thăm "" .Nguồn tin trên Infonet , ông Nguyễn Đức Long , Đội trưởng đội xe taxi Group phụ trách địa bàn Nam Trung Yên , quận Cầu Giấy ( Hà Nội ) cho biết : “ Tôi cùng người nhà của anh T. đang làm việc với cơ quan công an để đảm bảo quyền lợi cho anh T. và đã báo sự việc với lãnh đạo công ty .Khi nhận được thông tin , đại diện lãnh đạo taxi Group đã đến thăm hỏi , động viên chia sẻ với gia đình ” .Ngày 31/10 , Công an quận Cầu Giấy ( Hà Nội ) cho biết , đơn vị vẫn đang làm việc với bị hại cũng như tiến hành điều tra , truy bắt đối tượng liên quan để xử lý theo quy định của pháp luật .Trước đó , vào khoảng 19h30 tối 30/10 , tại ngõ 165 Dương Quảng Hàm , quận Cầu Giấy ( Hà Nội ) , tài xế T. đã cãi cọ với một người đàn ông chạy xe Mazda .Bất ngờ , người đàn ông trong xe Mazda rút súng bắn vào bụng tài xế taxi khiến nạn nhân gục xuống đường .Sau đó , lái xe Mazda được cho là đã lái xe cán qua người nạn nhân và bỏ chạy .Tài xế taxi sau đó được đưa vào bệnh viện cấp cứu .Hiện vụ việc vẫn đang được tiếp tục điều tra làm rõ .Mộc Miên ( Tổng hợp )","Tài xế taxi bị bắn , chèn xe qua người sau va chạm giao thông trên phố Dương Quảng Hàm , Cầu Giấy ( Hà Nội ) đang đợi phẫu thuật gắp đạn ra khỏi cơ thể .",Bài viết nói về nhiều chủ đề.
"Tóm tắt văn bản sau: Mười hai năm trước , ông Trịnh Kỳ Hoà ( quê Sóc Trăng ) đầu tư 2.000 m2 lồng bè trên sông Chà Và ( xã Long Sơn , TP Vũng Tàu ) nuôi cá .Ông mang theo cặp cá mú nghệ nặng 1,5 kg còn sót lại khi thu hoạch trong ao đất xuống nuôi thử nghiệm trong bè gần 20 m2 .Chừng một năm sau , thấy cặp cá hợp nước , lớn nhanh , ông đầu tư mua giống về thả nuôi hàng loạt và đem lại nguồn thu nhập lớn trong vài năm liền .Khi cặp cá mú "" làm cảnh "" nặng hơn 30 kg , thương lái nhiều lần nài nỉ mua nhưng ông kiên quyết giữ lại .Cách đây 6 năm , một trong hai con cá mú bị chết không rõ nguyên do ."" Con cá chết cân nặng gần 40 kg , tiếc lắm .Dù lo ngại số phận con còn lại nhưng tôi nghĩ và quyết tâm chăm sóc kỹ để nó thật khoẻ mạnh và đã sống được 12 năm "" , ông Hoà nói .Ở khu vực Long Sơn chưa từng ghi nhận việc nuôi hay đánh bắt cá mú lớn như con cá của ông Hoà đang nuôi .Con cá mú thân đã to hơn người lớn , dài 1,2 m , nặng trên 80 kg và mỗi năm thêm gần 10 kg ."" Vừa rồi , tôi nhờ mấy người cắt chiếc thùng phuy nhựa lùa vào đưa lên cân thử nhưng con cá vùng vẫy rất dữ nên phải chịu thua vì sợ ảnh hưởng đến sức khoẻ của nó "" , ông cho hay .Ba ngày ông Hoà cho con cá ăn một lần chừng 20 con cá tạp .Ông cho biết , con cá mú này rất nhạy cảm với nước .Đúng 3 ngày cá không quẫy nước ầm ầm đòi ăn thì y như rằng nước sông bị ô nhiễm .Điều này giúp ông kịp thời có biện pháp ứng phó để đàn cá nuôi trong các lồng khác không bị chết hàng loạt .Nhiều năm nay , những người trong và ngoài nước biết đến con cá đã tìm xuống bè xem , chụp ảnh .Chủ các nhà hàng lớn ở Sài Gòn đến ngỏ ý mua con cá với giá một triệu đồng mỗi kg nhưng ông nhất quyết không bán ."" Với bản thân tôi , con cá vô giá , nó là một kỷ vật trong nghiệp nuôi cá trên sông .Ngày nào đó lên bờ , chắc chắn tôi cũng sẽ mang nó lên cùng "" , ông Hoà nói .Mấy năm gần đây , người nuôi hải sản lồng bè trên sông Chà Và rơi vào tình trạng thua lỗ do mật độ lồng bè dày đặc , nguồn nước bị ô nhiễm .Riêng ông Hoà vẫn sống khoẻ với thu nhập gần 500 triệu đồng mỗi năm nhờ đàn cá mú vài tuổi , trọng lượng 4-30 kg và đàn cá chim .Cá mú nghệ có tên khoa học là Epinephelus lanceolatus , là loài cá xương lớn nhất được tìm thấy ở các rạn san hô .Loài này sống ở khắp vùng Ấn Độ Dương và Thái Bình Dương , trừ vịnh Ba Tư .Con lớn có thể dài đến 2,7 m và nặng tới 600 kg .Chúng thường sống ở vùng nước nông và ăn nhiều loài thuỷ sinh ở biển , kể cả cá mập nhỏ và rùa biển nhỏ .Năm ngoái , ngư dân ở Phú Quốc bắt được cá mú nghệ nặng hơn 100 kg .Nguyễn Khoa","Con cá mú nghệ thân to hơn người lớn , dài 1,2 m được ông Trịnh Kỳ Hoà nuôi 12 năm trên sông Chà Và .",Bài viết nói về nhiều chủ đề.
"Tóm tắt văn bản sau: Chiều 5/2 , lãnh đạo Bệnh viện Đa khoa tỉnh Bình Phước cho biết , đơn vị này vẫn đang điều trị cho nhiều trường hợp nhập viện vì tai nạn giao thông ( TNGT ) , cụ thể , ngày 28 tết có 22 ca , trong đó 1 ca chuyển lên tuyến trên ; ngày 29 tết có 18 ca , trong đó 8 ca nhập trực tiếp , tuyến huyện chuyển về 2 ca , chuyển lên tuyến trên 1 ca ; ngày 30 tết đến sáng mùng 1 tết có 17 ca , trong đó 7 ca nhập trực tiếp , 5 ca tuyến huyện chuyển về , 2 ca chuyển lên tuyến trên .Theo phía bệnh viện Đa khoa tỉnh Bình Phước , thì những ngày cận Tết Nguyên đán Kỷ Hợi 2019 số lượng ca cấp cứu vì tai nạn giao thông không tăng , thậm chí còn giảm .Đến sáng mùng 1 tết ( tức 5/2 ) , bệnh viện Đa khoa tỉnh còn 243 bệnh nhân đang điều trị nội trú .Riêng trong ngày 30 tết có 64 ca nhập mới , 52 ca ra viện , 30 ca xin về , 2 ca bỏ về , 1 ca chuyển viện .Theo thống kê , từ ngày 27 tết đến nay không có trường hợp tử vong .Nhằm đảm bảo khám , chữa bệnh , trực cấp cứu trong 9 ngày nghỉ tết , nhiều phòng , khoa Bệnh viện Đa khoa tỉnh Bình Phước vẫn trực như bình thường , đặc biệt đơn vị còn tăng cường đội ngũ y , bác sĩ cho khoa cấp cứu và ngoại chấn thương - chỉnh hình .","Từ ngày 2 - 5/2/2019 ( tức từ 28 - 1/1/2019 Kỷ Hợi ) Bệnh viện Đa khoa tỉnh Bình Phước , đã tiếp nhận 57 ca cấp cứu vì tai nạn giao thông .","Chiều 5/2 , lãnh đạo Bệnh viện Đa khoa tỉnh Bình P..."
"Tóm tắt văn bản sau: Ngày 10-4 , trung tá Lê Văn Hồng - trưởng công an phường Bắc Hà , TP Hà Tĩnh - xác nhận đã triệu tập Nguyễn Hùng Kỳ ( 30 tuổi , ở phường Hà Huy Tập , TP Hà Tĩnh ) để làm rõ hành vi hành hung bác sĩ .Bước đầu Kỳ thừa nhận tối 8-4 khi đang uống rượu với bạn bè thì nghe vợ gọi điện nói con trai bị sốt cao .Sau đó Kỳ cùng vợ đưa con đến khoa nhi Bệnh viện đa khoa Hà Tĩnh điều trị .Tại đây con trai Kỳ được bác sĩ Nguyễn Đình Phi và điều dưỡng Lê Thị Ngọc Trâm trực tiếp thăm khám .Cho rằng các bác sĩ thiếu quan tâm , Kỳ đã tát vào mặt bác sĩ Phi .Sinh viên thực tập Trần Nhật Giáp đứng gần đó đến can ngăn thì xảy ra xô xát .Sau khi được can ngăn , Kỳ bồng con ra khỏi bệnh viện .Liên quan đến vụ bác sĩ Hà Tĩnh bị hành hung , Cục Quản lý khám , chữa bệnh , Bộ Y tế có công văn gửi lãnh đạo Sở Y tế Hà Tĩnh , đề nghị phối hợp các đơn vị liên quan làm rõ vụ việc , đồng thời tăng cường bảo đảm an ninh , trật tự bệnh viện .Cục cũng yêu cầu quan tâm công tác điều trị phục hồi sức khoẻ và tâm lý cho bác sĩ , và thực tập sinh bị người nhà bệnh nhân hành hung trong khi đang làm nhiệm vụ .Trước đó , khoảng 23h30 ngày 8-4 , bệnh viện tiếp nhận bệnh nhân N. P. Đ ở TP Hà Tĩnh trong tình trạng sốt cao , phụ trách xử lý khi đó là bác sĩ Nguyễn Đình Phi .Ngoài bác sĩ Phi bị bố bệnh nhân đánh sưng ở đầu , anh Trần Nhật Giáp ( 24 tuổi , sinh viên Trường ĐH Y khoa Vinh ) cũng bị đánh rách vùng mắt và trán .","Cho rằng các bác sĩ thiếu quan tâm , Kỳ đã tát vào mặt bác sĩ Phi . Sinh viên thực tập Trần Nhật Giáp đứng gần đó đến can ngăn thì xảy ra xô xát . Sau khi được can ngăn , Kỳ bồng con ra khỏi bệnh viện .",Bài viết nói về nhiều chủ đề.
"Tóm tắt văn bản sau: Tối 26-7 , đại diện Bệnh viện Hoàn Mỹ Đà Nẵng , nơi tiếp nhận bệnh nhân N.T . H . , cho biết bệnh nhân được nhập viện trong tình trạng chảy máu ở ngực ."" Bệnh nhân đã can thiệp thẩm mỹ vùng ngực , vết thương sau phẫu thuật còn mới , trên máy bay có thể do bệnh nhân vận động nhiều hoặc va chạm nên gây chảy máu vết phẫu thuật "" - đại diện bệnh viện cho biết .Bác sĩ này cũng cho biết đây không phải là ca cấp cứu quá phức tạp .Các bác sĩ đã nhanh chóng sơ cứu , chuyển lên phòng mổ .Bác sĩ phải mở hết vết thương phẫu thuật trước đó ra , xác định , kiểm tra điểm chảy máu sau đó cầm máu và khâu lại .Đại diện ban giám đốc bệnh viện cho biết những trường hợp này vẫn thường xảy ra do sau phẫu thuật thẩm mỹ , bệnh nhân được cho về sớm , vận động nhiều nên xảy ra tình trạng chảy máu , chứ không có gì nghiêm trọng .Bệnh nhân có thể xuất viện trong ít ngày tới .Đại diện Bệnh viện Hoàn Mỹ cũng lưu ý với trường hợp vừa thực hiện phẫu thuật thẩm mỹ ngực , bệnh nhân nên tuân theo dặn dò của các bác sĩ , di chuyển vận động nhẹ nhàng , tránh các chấn động mạnh .Như Tuổi Trẻ Online đã đưa tin , sáng 26-7 , hành khách N.T . H .bị chảy máu ở vết thương ngực trái khi đang trên máy bay từ TP. HCM đi Vinh .Sau khi được sơ cứu , vị khách vẫn không thể được cầm máu vì lúc này máy bay đang ở độ cao khoảng 10.000 m , chênh lệch áp suất lớn , máy bay đã phải chuyển hướng hạ cánh khẩn cấp xuống sân bay Đà Nẵng để cấp cứu cho hành khách .Chuyến bay VN1262 của Vietnam Airlines sau đó đã nạp nhiên liệu và cất cánh rời Đà Nẵng lúc 9h .",Bệnh nhân N.T . H nhập viện khi đang bay từ TP. HCM đến Vinh vì chảy máu ở ngực đã được xác định do chấn động mạnh sau phẫu thuật thẩm mỹ .,Văn bản có 1525 ký tự.
"Tóm tắt văn bản sau: Sáng 2/7 , trao đổi với VnExpress , GS Phạm Gia Khải , thành viên Ban bảo vệ , chăm sóc sức khoẻ cán bộ trung ương , cho biết Bộ trưởng Quốc phòng Phùng Quang Thanh đang ở Pháp kiểm tra sức khoẻ ."" Hồi kháng chiến , ông Thanh bị dập phổi trong một vụ tai nạn ôtô .Gần đây , kiểm tra sức khoẻ thấy phổi xơ hoá .Các bác sĩ đã kiểm tra kỹ , soi chiếu , sinh thiết , nhưng chưa phát hiện vấn đề gì .Ông Thanh sang Pháp để kiểm tra kỹ hơn xem có phải là ung thư không "" , ông Khải nói .Chuyên gia này cho rằng kỹ thuật sinh thiết của Pháp có nhiều ưu việt .Trong trường hợp bị kết luận ung thư phổi thì với công nghệ , kỹ thuật mới hoá trị , xạ trị hiện nay , sức khoẻ của tướng Thanh "" cũng không quá lo "" .Theo Ban bảo vệ , chăm sóc sức khoẻ cán bộ trung ương , Bộ trưởng Thanh mới đi chữa bệnh thời gian ngắn .Ban sẽ có thông báo cụ thể về kết quả kiểm tra sức khoẻ của ông Thanh .Nam Phương",""" Bộ trưởng Phùng Quang Thanh được phát hiện xơ hoá phổi nên ông sang Pháp làm sinh thiết "" , Ban bảo vệ , chăm sóc sức khoẻ cán bộ trung ương thông tin .",Nội dung khá dài và phức tạp.
"Tóm tắt văn bản sau: Chiều ngày 12/8 , lực lượng chức năng Công an thị xã Tân Uyên , tỉnh Bình Dương vẫn đang điều tra làm rõ việc hàng chục công nhân của công ty TNHH G.W .( chuyên sản xuất đồ gỗ , tại xã Hội Nghĩa , thị xã Tân Uyên ) phải nhập viện trong tình trạng chóng mặt , nôn ói ...Trước đó , vào gần 9h30 cùng ngày , các công nhân này đang làm việc thì có dấu hiệu buồn nôn , chóng mặt và ngất xỉu nên lập tức được đưa vào trung tâm y tế thị xã Tân Uyên .Các bác sĩ đã nhanh chóng hội chuẩn và chữa trị cho bệnh nhân .Theo ghi nhận , do công ty không tổ chức ăn sáng cho công nhân nên bước đầu cơ quan chức năng xác định nguyên nhân không phải là ngộ độc thực phẩm tập thể mà là nguyên nhân khác .Các bệnh nhân được truyền nước , thăm khám và đã ổn định trở lại .Một số người được cho xuất viện .Trao đổi với PV , các công nhân cho biết , họ vừa mới bắt đầu ca làm việc buổi sáng được vài chục phút thì xảy ra sự việc trên .Được biết , vào đêm trước đó , nhà xưởng mới được phun thuốc để diệt mọt gỗ .Nguyên nhân vụ việc đang tiếp tục được làm rõ .","Trong quá trình làm việc , nhiều công nhân có triệu chứng chóng mặt , buồn nôn rồi ngất xỉu ... nên nhanh chóng được đưa vào bệnh viện cấp cứu .",Nội dung khá dài và phức tạp.
"Tóm tắt văn bản sau: Báo Guardian ngày 27-5 đưa tin nhóm các nhà khoa học hi vọng tìm ra phương pháp chữa rắn cắn bằng cách dùng cùng công nghệ đã phát hiện ra kháng thể HIV .Giáo sư Robert Harrison , đứng đầu trung tâm nghiên cứu rắn cắn tại khoa y học nhiệt đới của trường Liverpool ( Anh ) , cho biết nhóm tập trung nghiên cứu để tìm ra chất giải nọc độc rắn từ "" các kháng thể của con người "" hơn là các liệu pháp dựa trên động vật - thỉnh thoảng gây tác dụng ngược đối với các nạn nhân bị rắn cắn ."" Chúng tôi đang theo đuổi những gì mà chúng tôi gọi là các phương pháp chữa trị rắn cắn ' thế hệ tiếp theo ' với hi vọng có thể chữa trị vết cắn từ bất cứ loài rắn nào tại châu Phi hay Ấn Độ "" - ông Harrison nói .Nhóm nghiên cứu nhắm theo hướng tìm ra thuốc chữa rắn cắn phổ biến sau khi bác sĩ Devin Sok , chuyên gia HIV của Mỹ , phát hiện ra phương pháp định vị nhiều chuỗi kháng thể kháng HIV khác nhau có thể áp dụng cho vết thương do rắn cắn .Bác sĩ Sok sau đó đã liên hệ với khoa học gia Harrison của Liverpool .Bộ trưởng Phát triển quốc tế Anh Rory Stewart tuần trước tuyên bố chi quỹ 9 triệu bảng Anh ( khoảng 11,5 triệu USD ) cho nghiên cứu trên ."" Tại nhiều khu vực ở châu Phi và châu Á , rắn cắn là mối đe doạ hằng ngày , gây ra những biến chứng ảnh hưởng đến cuộc sống hoặc trường hợp tệ nhất là cái chết "" - bộ trưởng Stewart nói .Báo Guardian cho biết mỗi năm có gần 3 triệu người bị rắn cắn trên thế giới .Khó khăn lớn nhất của nhóm nghiên cứu trong việc tìm ra liệu pháp chữa rắn cắn "" phổ thông "" vì có khoảng 250 loài rắn có nọc độc và nọc của chúng khác biệt nhau cũng như rất phức tạp .","Nhóm các nhà khoa học từ 5 quốc gia đang phát triển phương pháp điều trị "" thế hệ tiếp theo "" để giúp đỡ cho hàng triệu nạn nhân bị rắn cắn mỗi năm .",Báo Guardian ngày 27-5 đưa tin nhóm các nhà khoa h...
